r030,txt,rate,cc,exchangedate
724,Іспанскі пессети,0.0325864,ESP,08.01.2000
752,Шведська крона,0.62721,SEK,08.01.2000
756,Швейцарський франк,3.374354,CHF,08.01.2000
792,Турецькі ліри,9.68e-06,TRL,08.01.2000
795,Манати Туркменії,0.00100373,TMM,08.01.2000
826,Фунт стерлінгів,8.603479,GBP,08.01.2000
840,Долар США,5.2194,USD,08.01.2000
860,Узбецький сум,0.037281,UZS,08.01.2000
960,СПЗ(спец.права запозичення),7.22675,XDR,08.01.2000
974,Бiлоруський рубль,0.00571,BYR,08.01.2000
978,Євро,5.421913,EUR,08.01.2000
985,Злотий,1.265309,PLN,08.01.2000
300,Грецькі драхми,0.0163779,GRD,08.01.2000
372,Ірландські фунти,6.884409,IEP,08.01.2000
620,Португальські ескудо,0.0027044,PTE,08.01.2000
810,Російські рублі,0.19168,RUR,08.01.2000
31,Азербайджанський манат,0.00119219,AZM,09.01.2000
36,Австралійський долар,3.42552,AUD,09.01.2000
40,Австрійський шилінг,0.394026,ATS,09.01.2000
56,Бельгійський франк,0.1344057,BEF,09.01.2000
124,Канадський долар,3.592812,CAD,09.01.2000
203,Чеська крона,0.146108,CZK,09.01.2000
208,Данська крона,0.72835,DKK,09.01.2000
233,Крони Естонії,0.346523,EEK,09.01.2000
246,Фінські маpки,0.9119,FIM,09.01.2000
250,Фpанцузський фpанк,0.826565,FRF,09.01.2000
280,Hімецькі маpки,2.77218,DEM,09.01.2000
348,Форинт,0.0207168,HUF,09.01.2000
352,Ісландські крони,0.072819,ISK,09.01.2000
380,Італійські ліpи,0.00280018,ITL,09.01.2000
392,Єна,0.0498704,JPY,09.01.2000
398,Теньге,0.037767,KZT,09.01.2000
428,Лати Латвії,9.014508,LVL,09.01.2000
440,Литовські лити,1.30485,LTL,09.01.2000
498,Молдовський лей,0.448842,MDL,09.01.2000
528,Голандські гульдени,2.460357,NLG,09.01.2000
578,Норвезька крона,0.660967,NOK,09.01.2000
702,Сінгапурський долар,3.129137,SGD,09.01.2000
703,Словацькі крони,0.123307,SKK,09.01.2000
724,Іспанскі пессети,0.0325864,ESP,09.01.2000
752,Шведська крона,0.62721,SEK,09.01.2000
756,Швейцарський франк,3.374354,CHF,09.01.2000
792,Турецькі ліри,9.68e-06,TRL,09.01.2000
795,Манати Туркменії,0.00100373,TMM,09.01.2000
826,Фунт стерлінгів,8.603479,GBP,09.01.2000
840,Долар США,5.2194,USD,09.01.2000
860,Узбецький сум,0.037281,UZS,09.01.2000
960,СПЗ(спец.права запозичення),7.22675,XDR,09.01.2000
974,Бiлоруський рубль,0.00571,BYR,09.01.2000
978,Євро,5.421913,EUR,09.01.2000
985,Злотий,1.265309,PLN,09.01.2000
300,Грецькі драхми,0.0163779,GRD,09.01.2000
372,Ірландські фунти,6.884409,IEP,09.01.2000
620,Португальські ескудо,0.0027044,PTE,09.01.2000
810,Російські рублі,0.19168,RUR,09.01.2000
31,Азербайджанський манат,0.00119219,AZM,10.01.2000
36,Австралійський долар,3.42552,AUD,10.01.2000
40,Австрійський шилінг,0.394026,ATS,10.01.2000
56,Бельгійський франк,0.1344057,BEF,10.01.2000
124,Канадський долар,3.592812,CAD,10.01.2000
203,Чеська крона,0.146108,CZK,10.01.2000
208,Данська крона,0.72835,DKK,10.01.2000
233,Крони Естонії,0.346523,EEK,10.01.2000
246,Фінські маpки,0.9119,FIM,10.01.2000
250,Фpанцузський фpанк,0.826565,FRF,10.01.2000
280,Hімецькі маpки,2.77218,DEM,10.01.2000
348,Форинт,0.0207168,HUF,10.01.2000
352,Ісландські крони,0.072819,ISK,10.01.2000
380,Італійські ліpи,0.00280018,ITL,10.01.2000
